id , subject_name , mail_body
1 , Invalid Customer Number, "Dears, <br>Please find below the invalid Customer Numbers that must be corrected in the tab Commercial_Conditions in the file EC_One_View_Commercial.gSheet, which can be accessed by this link: <br><Link EC_One_View_Commercial.gSheet|https://docs.google.com/spreadsheets/d/1YzjjPp93olZ349NyW2Vlu6KIypmv63Vj8E4M_iMuKig/edit#gid=0> <br>Table with columns Customer Code and Customer Name."
2 , Invalid Material Number, "Dears, <br>Please find below the invalid Material Numbers that must be corrected in the tab Commercial_Conditions in the file EC_One_View_Commercial.gSheet, which can be accessed by this link:<br><Link EC_One_View_Commercial.gSheet|https://docs.google.com/spreadsheets/d/1YzjjPp93olZ349NyW2Vlu6KIypmv63Vj8E4M_iMuKig/edit#gid=0><br>Table with columns Product Code and Product Description."
